track,artist,year,duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,popularity,genre
Hey Jack Kerouac,"10,000 Maniacs",1987,206413,.616,.51099998,-15.894,.027899999,.038400002,0,.15000001,.60399997,40,Alt. Rock
Like the Weather,"10,000 Maniacs",1987,236653,.76999998,.45899999,-17.452999,.0416,.112,.00343,.145,.963,43,Alt. Rock
What's the Matter Here?,"10,000 Maniacs",1987,291173,.59299999,.81599998,-7.2930002,.041000001,.0044900002,.000031700001,.089599997,.51899999,12,Alt. Rock
Trouble Me,"10,000 Maniacs",1989,193560,.861,.38499999,-10.057,.0341,.154,0,.123,.49399999,47,Alt. Rock
Candy Everybody Wants,"10,000 Maniacs",1992,185960,.62199998,.87599999,-6.3099999,.0305,.019300001,.0068399999,.098700002,.86699998,43,Alt. Rock
More Than This,"10,000 Maniacs",1992,245573,.62300003,.773,-8.8000002,.027100001,.0155,.0057299999,.091700003,.80699998,46,Alt. Rock
These Are Days,"10,000 Maniacs",1992,219893,.611,.833,-7.5539999,.035100002,.0218,.000204,.092299998,.79299998,52,Alt. Rock
Verdi Cries,"10,000 Maniacs",1992,260253,.36700001,.025599999,-25.309,.042100001,.917,.000073900002,.084299996,.178,34,Alt. Rock
Because the Night - Live Unplugged,"10,000 Maniacs",1993,223373,.40799999,.79000002,-8.1379995,.103,.25999999,.00026999999,.76499999,.347,56,Alt. Rock
Be Like That,3 Doors Down,2000,265906,.48699999,.70200002,-6.0430002,.023800001,.0052800002,4.9700002e-06,.12899999,.30599999,61,Alt. Rock
Duck And Run,3 Doors Down,2000,230600,.52399999,.91900003,-5.5050001,.0436,.0149,.000070499998,.131,.84799999,48,Alt. Rock
Kryptonite,3 Doors Down,2000,233933,.54500002,.86500001,-5.7080002,.0286,.0066399998,.000011,.168,.54299998,80,Alt. Rock
Loser,3 Doors Down,2000,264800,.493,.88,-6.4239998,.069300003,.0108,.000026600001,.226,.389,61,Alt. Rock
One Light,3 Doors Down,2000,176346,.37200001,.97600001,-3.6700001,.0625,.0011699999,.0032599999,.059700001,.433,38,Alt. Rock
Here Without You,3 Doors Down,2003,238733,.55699998,.53299999,-6.8169999,.0252,.049199998,0,.205,.233,76,Alt. Rock
When I'm Gone,3 Doors Down,2005,260333,.52999997,.76800001,-5.6110001,.0284,.00385,0,.103,.37400001,72,Alt. Rock
It's Not My Time,3 Doors Down,2008,241960,.53200001,.935,-4.7979999,.061900001,.00133,8.3699997e-06,.106,.30899999,63,Alt. Rock
Let Me Go,3 Doors Down,2008,243053,.47999999,.86299998,-4.914,.0385,.018100001,0,.111,.491,55,Alt. Rock
Man in the Box,Alice In Chains,1990,285200,.35499999,.79100001,-7.5650001,.045299999,.00044999999,0,.096900001,.75800002,77,Alt. Rock
Angry Chair (2022 Remaster),Alice In Chains,1992,287800,.329,.94300002,-5.7420001,.091300003,.040600002,0,.0548,.15700001,53,Alt. Rock
Down In A Hole (2022 Remaster),Alice In Chains,1992,338226,.35600001,.81800002,-5.3429999,.033500001,.0122,.000118,.123,.389,66,Alt. Rock
Rooster (2022 Remaster),Alice In Chains,1992,374333,.26300001,.56199998,-7.8579998,.0273,.028899999,.00118,.12,.213,72,Alt. Rock
Them Bones (2022 Remaster),Alice In Chains,1992,149466,.16,.954,-5.1789999,.068499997,.023,4.0099999e-06,.37200001,.336,70,Alt. Rock
Would? (2022 Remaster),Alice In Chains,1992,206773,.29699999,.84200001,-7.4569998,.048799999,.00028599999,9.1000002e-06,.084799998,.58600003,75,Alt. Rock
I Stay Away,Alice In Chains,1994,254400,.17399999,.78100002,-7.066,.040600002,.045200001,.00346,.082199998,.27599999,62,Alt. Rock
No Excuses,Alice In Chains,1994,255573,.52700001,.838,-6.013,.032299999,.0206,.00062000001,.07,.72100002,64,Alt. Rock
Nutshell,Alice In Chains,1994,259200,.384,.56099999,-10.059,.0296,.373,.25299999,.077500001,.15899999,72,Alt. Rock
Heaven Beside You,Alice In Chains,1996,327893,.551,.72399998,-7.0900002,.032000002,.0045099999,.00016700001,.116,.55900002,61,Alt. Rock
Brass Monkey,Beastie Boys,1986,157440,.91399997,.58600003,-8.4350004,.33000001,.0020300001,1.5800000e-06,.099200003,.65499997,66,Alt. Rock
Fight For Your Right,Beastie Boys,1986,208653,.50300002,.85799998,-6.296,.065700002,.0075699999,.0023399999,.080300003,.419,69,Alt. Rock
No Sleep Till Brooklyn,Beastie Boys,1986,246933,.71200001,.69099998,-8.1569996,.12800001,.122,0,.053800002,.74199998,70,Alt. Rock
Paul Revere,Beastie Boys,1986,220840,.88300002,.55299997,-13.232,.94400001,.016100001,0,.228,.57800001,57,Alt. Rock
Hey Ladies,Beastie Boys,1989,227773,.949,.72799999,-10.653,.211,.28600001,0,.046500001,.79500002,51,Alt. Rock
Shake Your Rump,Beastie Boys,1989,198253,.88800001,.699,-10.425,.164,.015900001,.000306,.111,.69700003,56,Alt. Rock
Sabotage,Beastie Boys,1994,178440,.324,.93800002,-7.3319998,.102,.032000002,.032099999,.096100003,.54299998,74,Alt. Rock
Sure Shot,Beastie Boys,1994,199666,.69199997,.79900002,-7.9239998,.164,.38800001,0,.301,.54900002,58,Alt. Rock
Intergalactic,Beastie Boys,1998,210106,.73100001,.88099998,-6.5040002,.28099999,.0105,.0000631,.062799998,.361,52,Alt. Rock
Loser,Beck,1994,235000,.65399998,.611,-10.45,.119,.0337,.000178,.405,.78600001,70,Alt. Rock
Devils Haircut,Beck,1996,195440,.68400002,.77100003,-4.7340002,.0283,.133,.00112,.169,.79699999,53,Alt. Rock
Jack-Ass,Beck,1996,252280,.71399999,.55500001,-6.664,.0287,.163,0,.0942,.83099997,35,Alt. Rock
The New Pollution,Beck,1996,219986,.671,.76899999,-6.5289998,.026799999,.0287,.0098799998,.31999999,.88999999,43,Alt. Rock
Where It's At,Beck,1996,330946,.68000001,.671,-7.1420002,.053599998,.169,.0286,.075999998,.53200001,43,Alt. Rock
Hell Yes,Beck,1999,197906,.79400003,.72000003,-7.4000001,.34999999,.081799999,.0143,.084600002,.78100002,35,Alt. Rock
Sexx Laws,Beck,1999,219240,.64600003,.91399997,-4.0710001,.044799998,.015,.0000132,.102,.84899998,45,Alt. Rock
E-Pro,Beck,2005,202360,.62400001,.95899999,-6.2529998,.076899998,.00133,.171,.101,.69,57,Alt. Rock
Gamma Ray,Beck,2005,176920,.60299999,.90899998,-4.2129998,.0385,.109,.249,.329,.69999999,62,Alt. Rock
No Rain,Blind Melon,1992,217106,.389,.47600001,-9.342,.031599998,.61900002,.000050899998,.255,.56599998,73,Alt. Rock
Change,Blind Melon,1995,221866,.433,.46000001,-10.441,.034299999,.60600001,.000043600001,.175,.53600001,60,Alt. Rock
Adam's Song,blink-182,1999,249626,.51999998,.77499998,-5.803,.0348,.034000002,0,.36399999,.38299999,73,Alt. Rock
All The Small Things,blink-182,1999,167066,.43399999,.89700001,-4.9180002,.048799999,.0103,0,.61199999,.685,83,Alt. Rock
What's My Age Again?,blink-182,1999,148360,.391,.95099998,-7.4190001,.068800002,.012,.00044599999,.087800004,.46799999,80,Alt. Rock
Man Overboard,blink-182,2000,166733,.21799999,.921,-4.414,.060199998,.00133,7.6599999e-06,.077699997,.61199999,60,Alt. Rock
Don't Leave Me,blink-182,2001,143573,.338,.94,-7.0939999,.090599999,.0086200004,4.5000002e-06,.30399999,.245,55,Alt. Rock
Stay Together For The Kids,blink-182,2001,239333,.51999998,.77999997,-4.9439998,.035599999,.00165,.000021600001,.156,.16599999,65,Alt. Rock
The Rock Show,blink-182,2001,171600,.40900001,.95899999,-4.5630002,.086900003,.00032399999,0,.0766,.82999998,69,Alt. Rock
Feeling This,blink-182,2003,172645,.41100001,.96200001,-5.9520001,.091700003,.103,0,.52899998,.62199998,70,Alt. Rock
First Date,blink-182,2003,171533,.579,.92799997,-4.3439999,.041099999,.00071499997,0,.18000001,.88200003,74,Alt. Rock
I Miss You,blink-182,2004,227240,.65499997,.78100002,-6.5469999,.034000002,.00103,5.3300000e-06,.0867,.58399999,76,Alt. Rock
For Tomorrow - 2012 Remaster,Blur,1993,261240,.63099998,.83999997,-6.0250001,.0285,.0143,0,.071199998,.653,43,Alt. Rock
End of a Century - 2012 Remaster,Blur,1994,165840,.44600001,.68599999,-7.348,.030300001,.211,0,.205,.493,46,Alt. Rock
Girls & Boys,Blur,1994,259385,.69300002,.875,-8.3540001,.031500001,.0098599996,0,.0601,.89899999,68,Alt. Rock
Parklife,Blur,1994,187040,.63200003,.87699997,-6.9050002,.060600001,.154,0,.32800001,.74900001,56,Alt. Rock
This Is a Low - 2012 Remaster,Blur,1994,316906,.271,.5,-8.6610003,.032499999,.211,.00156,.111,.31999999,39,Alt. Rock
Country House,Blur,1995,237733,.34099999,.89499998,-6.6599998,.075999998,.147,0,.074100003,.67699999,51,Alt. Rock
Beetlebum,Blur,1997,305146,.48699999,.648,-5.1399999,.027799999,.035100002,.000201,.266,.704,46,Alt. Rock
Song 2,Blur,1997,121880,.65799999,.70899999,-6.7360001,.090400003,.00188,.00447,.065700002,.85500002,67,Alt. Rock
Coffee & TV,Blur,1999,358773,.74299997,.74199998,-10.117,.036699999,.050999999,.234,.098700002,.70599997,62,Alt. Rock
Tender,Blur,1999,461946,.58700001,.56599998,-9.9320002,.0276,.46900001,0,.064400002,.528,58,Alt. Rock
Frank Sinatra,CAKE,1996,241026,.67500001,.51099998,-9.2080002,.041499998,.175,.0261,.183,.56900001,51,Alt. Rock
I Will Survive,CAKE,1996,310333,.50099999,.68900001,-7.9520001,.031800002,.30599999,.00016900001,.133,.87300003,61,Alt. Rock
Jolene,CAKE,1996,319200,.498,.57599998,-9.8529997,.041099999,.30500001,.000017300001,.54400003,.847,40,Alt. Rock
Short Skirt / Long Jacket,CAKE,1996,204128,.77100003,.80900002,-10.029,.046100002,.003,.022299999,.0252,.88599998,65,Alt. Rock
Stickshifts and Safetybelts,CAKE,1996,128653,.65899998,.68199998,-9.6680002,.13699999,.41600001,0,.31400001,.91299999,44,Alt. Rock
The Distance,CAKE,1996,179600,.45699999,.75199997,-8.1210003,.090000004,.0095899999,.00136,.057300001,.89700001,68,Alt. Rock
Never There,CAKE,1998,164266,.76099998,.73500001,-8.1709995,.043000001,.042599998,.083800003,.091700003,.59200001,61,Alt. Rock
Comfort Eagle,CAKE,2001,220202,.73500001,.69199997,-9.6709995,.058200002,.093199998,0,.21699999,.89399999,53,Alt. Rock
Sheep Go To Heaven,CAKE,2001,228093,.639,.67900002,-8.8669996,.040100001,.018200001,.0000108,.117,.78399998,48,Alt. Rock
Wheels,CAKE,2001,198200,.69599998,.47600001,-7.9549999,.037300002,.12800001,0,.121,.963,45,Alt. Rock
Mr. Jones,Counting Crows,1993,272293,.57800001,.81699997,-6.5409999,.0363,.183,2.8500001e-06,.285,.73400003,78,Alt. Rock
Round Here,Counting Crows,1993,331400,.31299999,.477,-9.3699999,.034200002,.14300001,.000073099996,.0814,.186,60,Alt. Rock
A Long December,Counting Crows,1996,295066,.38800001,.579,-6.9829998,.0286,.472,.00055,.219,.38100001,58,Alt. Rock
Big Yellow Taxi,Counting Crows,2002,225573,.67799997,.866,-4.3410001,.048,.0029500001,0,.16,.84200001,64,Alt. Rock
Superman's Song,Crash Test Dummies,1991,271600,.40599999,.124,-19.825001,.034200002,.61299998,1.0799999e-06,.108,.31600001,42,Alt. Rock
Androgynous,Crash Test Dummies,1992,156613,.5,.20900001,-16.07,.046799999,.42399999,0,.101,.67000002,22,Alt. Rock
Keep A Lid On Things,Crash Test Dummies,1992,165600,.56800002,.72600001,-9.0100002,.185,.0614,.000174,.15099999,.74400002,29,Alt. Rock
He Liked To Feel It,Crash Test Dummies,1993,235306,.75800002,.57499999,-7.3540001,.031599998,.079999998,.085000001,.086400002,.69800001,20,Alt. Rock
In The Days Of The Caveman,Crash Test Dummies,1993,220493,.65499997,.85000002,-7.6950002,.0317,.079000004,.000864,.329,.64200002,37,Alt. Rock
Mmm Mmm Mmm Mmm,Crash Test Dummies,1993,235173,.57999998,.57499999,-7.7199998,.0231,.25,.000018299999,.081299998,.37,64,Alt. Rock
Swimming In Your Ocean,Crash Test Dummies,1996,229066,.61299998,.79500002,-7.0640001,.028000001,.0986,.068300001,.080899999,.64300001,37,Alt. Rock
The Ballad Of Peter Pumpkinhead (feat. Ellen Reid),Crash Test Dummies,1996,224373,.498,.93400002,-5.323,.103,.031399999,.000031700001,.226,.53100002,33,Alt. Rock
The Unforgiven Ones,Crash Test Dummies,1996,174026,.45699999,.48199999,-8.4949999,.0287,.93099999,.015,.117,.32699999,25,Alt. Rock
Crash into Me,Dave Matthews Band,1996,316466,.54100001,.67699999,-10.764,.037300002,.122,.019099999,.093800001,.55500001,65,Alt. Rock
The Space Between,Dave Matthews Band,2001,242000,.40599999,.73000002,-6.2779999,.031500001,.0471,0,.229,.207,56,Alt. Rock
California Uber Alles,Dead Kennedys,1980,207040,.317,.88499999,-4.7680001,.14399999,.176,.000249,.221,.704,54,Alt. Rock
Holiday in Cambodia,Dead Kennedys,1980,224866,.133,.92699999,-5.3709998,.074100003,.0034399999,.00044,.091499999,.5,53,Alt. Rock
Kill the Poor,Dead Kennedys,1980,187360,.27000001,.97299999,-3.2190001,.072499998,.212,.0020399999,.34599999,.44299999,40,Alt. Rock
Police Truck,Dead Kennedys,1980,144973,.207,.96700001,-5.381,.098200001,.062700003,.000063200001,.50400001,.59799999,53,Alt. Rock
Nazi Punks Fuck Off,Dead Kennedys,1981,63390,.39700001,.92299998,-4.0289998,.20100001,.00132,0,.26100001,.676,49,Alt. Rock
Too Drunk to Fuck,Dead Kennedys,1981,160653,.44100001,.96600002,-4.8759999,.050299998,.00054799998,.00082900003,.41499999,.58600003,48,Alt. Rock
Bleed for Me,Dead Kennedys,1985,204916,.289,.96200001,-5.6469998,.12899999,.00019399999,.000077700002,.094599999,.118,30,Alt. Rock
Chemical Warfare,Dead Kennedys,1985,178560,.30199999,.972,-3.0409999,.17900001,.67400002,.022700001,.28799999,.51999998,31,Alt. Rock
MTV-Get Off the Air,Dead Kennedys,1985,217386,.34999999,.83899999,-6.1859999,.21600001,.0414,0,.086800002,.65499997,34,Alt. Rock
Be Quiet and Drive (Far Away),Deftones,1997,299866,.206,.96499997,-5.1160002,.079000004,9.9099998e-06,.82700002,.36700001,.168,76,Alt. Rock
Engine No. 9,Deftones,1997,204880,.35800001,.98100001,-5.1300001,.178,.000093000002,.000193,.38600001,.382,64,Alt. Rock
